STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,DOMAIN,Working domain,SEX,Sex,WORK_STATUS,Working status,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVENTION,Agricultural convention
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,THA,Thailand,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2002,,2515,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,THA,Thailand,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2003,,2515,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,THA,Thailand,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2004,,2515,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,THA,Thailand,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2005,,2515,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,THA,Thailand,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2006,,2515,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,THA,Thailand,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2007,,2515,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,THA,Thailand,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2008,,2515,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,THA,Thailand,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2009,,2515,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,THA,Thailand,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2010,,2515,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,THA,Thailand,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2011,,2515,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,THA,Thailand,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2012,,2515,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,THA,Thailand,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2013,,2515,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,THA,Thailand,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2014,,2515,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,THA,Thailand,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2015,,2515,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,THA,Thailand,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2016,,2515,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,THA,Thailand,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2017,,2515,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,THA,Thailand,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2018,,2860,,A,Normal value,,,0,Units,0,Zero,,
