STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,DOMAIN,Working domain,SEX,Sex,WORK_STATUS,Working status,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVENTION,Agricultural convention
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,IDN,Indonesia,A,Annual,EMP,Employment,PS,Persons,MARINE_NEI,"Marine fishing, nei",_T,Total,_T,Total,2004,,2346782,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,IDN,Indonesia,A,Annual,EMP,Employment,PS,Persons,MARINE_NEI,"Marine fishing, nei",_T,Total,_T,Total,2003,,3311821,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,IDN,Indonesia,A,Annual,EMP,Employment,PS,Persons,MARINE_NEI,"Marine fishing, nei",_T,Total,_T,Total,2002,,2572042,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,FISH,Fishing sector,_T,Total,_T,Total,2003,,94431,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,FISH,Fishing sector,_T,Total,_T,Total,2002,,87628,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,FISH,Fishing sector,_T,Total,_T,Total,2001,,89494,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,FISH,Fishing sector,_T,Total,_T,Total,2000,,86982,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,IDN,Indonesia,A,Annual,EMP,Employment,PS,Persons,MARINE_NEI,"Marine fishing, nei",_T,Total,_T,Total,2014,,2186900,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,IDN,Indonesia,A,Annual,EMP,Employment,PS,Persons,MARINE_NEI,"Marine fishing, nei",_T,Total,_T,Total,2013,,2164969,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,IDN,Indonesia,A,Annual,EMP,Employment,PS,Persons,MARINE_NEI,"Marine fishing, nei",_T,Total,_T,Total,2012,,2278388,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,IDN,Indonesia,A,Annual,EMP,Employment,PS,Persons,MARINE_NEI,"Marine fishing, nei",_T,Total,_T,Total,2011,,2265213,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,IDN,Indonesia,A,Annual,EMP,Employment,PS,Persons,MARINE_NEI,"Marine fishing, nei",_T,Total,_T,Total,2010,,2162442,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,IDN,Indonesia,A,Annual,EMP,Employment,PS,Persons,MARINE_NEI,"Marine fishing, nei",_T,Total,_T,Total,2009,,2169279,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,AQUA,Aquaculture,_T,Total,_T,Total,2007,,21287,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,AQUA,Aquaculture,_T,Total,_T,Total,2006,,20100,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,AQUA,Aquaculture,_T,Total,_T,Total,2021,,21241,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,AQUA,Aquaculture,_T,Total,_T,Total,2005,,20642,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,AQUA,Aquaculture,_T,Total,_T,Total,2004,,21507,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,AQUA,Aquaculture,_T,Total,_T,Total,2003,,21114,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,AQUA,Aquaculture,_T,Total,_T,Total,2002,,21164,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,AQUA,Aquaculture,_T,Total,_T,Total,2001,,22108,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,AQUA,Aquaculture,_T,Total,_T,Total,2000,,21774,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,AQUA,Aquaculture,_T,Total,_T,Total,2020,,20262,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,AQUA,Aquaculture,_T,Total,_T,Total,2019,,19469,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,AQUA,Aquaculture,_T,Total,_T,Total,2018,,18297,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,AQUA,Aquaculture,_T,Total,_T,Total,2017,,17765,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,AQUA,Aquaculture,_T,Total,_T,Total,2016,,21288,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,AQUA,Aquaculture,_T,Total,_T,Total,2015,,24452,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,AQUA,Aquaculture,_T,Total,_T,Total,2014,,26516,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,AQUA,Aquaculture,_T,Total,_T,Total,2013,,26802,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,AQUA,Aquaculture,_T,Total,_T,Total,2012,,29494,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,AQUA,Aquaculture,_T,Total,_T,Total,2011,,28599,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,AQUA,Aquaculture,_T,Total,_T,Total,2010,,26291,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,AQUA,Aquaculture,_T,Total,_T,Total,2009,,23986,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,IDN,Indonesia,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2007,,61064,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,IDN,Indonesia,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2006,,61064,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,IDN,Indonesia,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2021,,78126,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,IDN,Indonesia,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2005,,61064,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,IDN,Indonesia,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2004,,61064,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,IDN,Indonesia,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2003,,61064,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,IDN,Indonesia,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2002,,61064,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,IDN,Indonesia,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2001,,61064,,A,Normal value,,,0,Units,0,Zero,,
